10,13,16,12,14,14,14,14,48,15,1
10,12,16,10,12,14,14,14,44,14,0
10,12,16,9,9,14,13,13,41,13,0
9,11,15,8,8,13,12,11,40,10,0
8,10,14,8,8,11,12,10,37,8,0
8,10,14,8,8,10,12,10,33,7,0
8,9,14,8,7,10,12,10,29,6,1
8,8,13,7,6,9,12,9,25,6,1
8,8,12,6,6,8,12,8,23,5,0
7,7,10,5,5,8,11,8,22,4,0
6,6,8,4,4,8,9,7,20,4,1
5,6,8,4,4,7,8,5,17,3,0
3,4,6,4,3,6,8,3,15,2,1
2,2,3,4,1,6,7,2,12,2,0
2,1,2,4,0,4,5,1,9,2,1
16,16,16,15,15,16,15,16,62,16,1
14,15,16,13,14,16,13,16,59,16,0
12,14,16,12,12,16,12,16,55,16,1
12,13,16,12,10,15,11,16,50,16,0
12,11,15,12,10,14,10,15,46,16,0
12,10,14,11,7,14,9,13,44,16,1
6,5,7,5,1,7,4,6,22,8,1
12,10,13,10,2,14,8,12,42,15,1
23,20,24,20,4,26,14,21,64,24,1
4,5,6,4,1,5,2,4,14,4,0
8,10,12,8,2,10,4,7,25,8,0
8,10,9,8,1,9,4,6,21,8,0
8,9,6,7,0,8,4,6,18,8,0
8,8,5,6,0,8,4,6,15,6,1
7,7,4,6,0,7,4,6,12,3,1
6,5,4,6,0,4,4,6,8,2,0
4,3,4,5,0,2,2,6,5,2,0
15,16,15,16,16,15,16,15,62,16,1
13,16,14,16,16,14,15,13,58,16,1
11,14,14,16,15,14,14,12,54,15,0
8,12,14,16,14,13,14,11,50,14,1
6,12,14,15,14,11,14,10,45,14,1
6,12,14,13,13,10,14,9,40,14,1
6,12,14,12,12,10,14,8,37,13,0
6,11,14,12,12,10,13,8,35,11,1
6,9,14,11,11,10,12,8,33,8,1
6,8,13,10,10,9,11,8,30,6,0
6,8,11,10,9,8,9,8,26,6,0
9,11,13,14,12,8,11,11,32,9,0
6,6,6,8,8,3,6,4,19,6,0
5,5,6,7,8,1,5,2,17,6,0
4,4,5,6,8,0,4,2,14,5,1
3,4,4,5,5,0,3,2,11,3,1
1,2,2,1,1,0,1,1,4,1,1
16,16,16,16,15,16,15,16,63,15,1
16,13,15,15,13,16,14,16,61,14,0
16,10,14,14,10,15,13,16,59,14,0
16,10,14,14,8,14,12,15,55,14,1
16,10,14,14,8,14,12,14,51,13,0
16,10,13,14,8,14,12,14,49,9,1
8,5,6,7,4,7,5,7,24,3,1
16,10,12,13,7,14,10,13,46,6,1
16,10,11,11,5,13,9,12,44,6,0
16,7,9,10,4,12,8,12,42,6,0
14,4,8,10,4,10,8,12,38,6,0
12,4,8,9,4,7,8,11,35,5,1
10,4,8,8,3,5,7,10,33,4,0
8,3,8,8,2,3,5,10,30,4,1
11,3,12,12,3,2,6,14,32,6,1
6,2,8,8,2,0,4,8,15,3,0
5,2,8,8,2,0,4,5,13,2,1
4,2,8,8,2,0,3,2,9,2,1
3,1,6,7,2,0,1,1,5,2,1
15,15,16,16,16,16,16,15,61,16,0
14,14,15,15,16,16,15,13,57,16,1
14,13,13,13,15,15,14,12,55,16,0
14,12,12,12,14,14,14,12,53,15,0
14,12,12,11,12,14,13,12,51,14,1
14,12,12,10,10,13,12,11,48,14,0
14,10,11,10,9,12,12,10,44,14,0
14,7,10,10,7,12,11,10,40,14,1
14,6,9,9,5,12,10,10,35,14,1
12,6,8,8,3,12,8,10,31,12,0
10,6,8,8,2,12,6,8,29,9,0
8,5,7,8,1,12,6,8,26,8,1
6,3,9,10,0,16,5,11,33,11,1
2,0,6,4,0,7,2,6,19,5,0
2,0,6,2,0,6,2,6,17,3,0
2,0,6,2,0,6,1,4,15,2,0
2,0,5,1,0,5,0,2,13,1,1
16,16,16,16,15,15,13,16,63,16,0
8,8,8,8,7,7,5,8,30,8,0
24,23,22,24,19,21,15,24,80,24,1
16,14,14,16,12,14,9,15,45,15,1
16,14,13,16,12,13,7,14,43,13,0
16,13,12,15,10,12,6,13,41,12,0
16,12,12,12,7,12,5,12,39,12,0
15,11,12,10,6,12,4,11,35,11,0
13,9,11,10,6,12,4,9,30,10,0
11,7,10,9,5,11,4,8,27,10,0
13,5,13,10,6,13,6,11,36,13,1
6,2,7,6,4,8,4,4,20,6,1
6,3,9,5,4,9,5,2,23,6,1
4,2,5,1,1,4,1,0,11,1,0
15,16,15,15,16,16,15,16,62,16,1
13,16,14,13,16,15,14,15,59,16,0
12,16,12,11,15,14,14,14,56,16,0
12,16,10,10,13,14,14,13,53,15,1
12,13,10,10,11,13,14,12,51,13,0
12,9,10,10,9,11,13,12,49,11,0
12,8,10,10,8,10,11,11,46,10,0
12,8,9,9,7,9,9,10,43,10,0
12,8,7,7,6,8,8,9,40,9,0
12,8,5,5,6,7,8,8,36,8,0
12,10,6,6,8,9,12,11,44,10,1
6,6,3,4,4,5,8,6,21,6,0
5,4,2,4,4,4,6,6,17,6,0
4,2,2,4,3,4,3,5,15,6,0
3,2,2,4,2,3,2,4,13,5,1
2,2,2,3,2,1,2,3,10,4,1
16,16,16,16,16,16,16,16,63,15,0
16,16,16,16,16,16,15,16,60,13,0
16,15,16,16,16,15,13,15,57,12,0
15,14,16,16,16,14,12,12,54,12,1
14,14,15,16,16,14,11,9,50,12,0
12,14,13,16,16,14,10,8,45,12,1
9,14,11,15,16,14,9,8,40,12,1
